twsp-train.arff
m,k,certainty_labeling,num_labels,accuracy
3,5,0,168,0.848958
3,5,0,171,0.859375
3,5,0,174,0.875000
3,5,0,177,0.875000
3,5,0,180,0.916667
3,5,0,183,0.927083
3,5,0,186,0.958333
3,5,0,189,0.973958
3,5,0,192,0.989583
3,7,1,6,0.500000
3,7,1,9,0.500000
3,7,1,12,0.505208
3,7,1,15,0.484375
3,7,1,18,0.494792
3,7,1,21,0.468750
3,7,1,24,0.463542
3,7,1,27,0.531250
3,7,1,30,0.500000
3,7,1,33,0.531250
3,7,1,36,0.489583
3,7,1,39,0.479167
3,7,1,42,0.447917
3,7,1,45,0.458333
3,7,1,48,0.458333
3,7,1,51,0.437500
3,7,1,54,0.463542
3,7,1,57,0.510417
3,7,1,60,0.494792
3,7,1,63,0.468750
3,7,1,66,0.494792
3,7,1,69,0.505208
3,7,1,72,0.515625
3,7,1,75,0.505208
3,7,1,78,0.526042
3,7,1,81,0.531250
3,7,1,84,0.546875
3,7,1,87,0.546875
3,7,1,90,0.557292
3,7,1,93,0.541667
3,7,1,96,0.546875
3,7,1,99,0.531250
3,7,1,102,0.536458
3,7,1,105,0.531250
3,7,1,108,0.552083
3,7,1,111,0.546875
3,7,1,114,0.546875
3,7,1,117,0.541667
3,7,1,120,0.541667
3,7,1,123,0.546875
3,7,1,126,0.541667
3,7,1,129,0.526042
3,7,1,132,0.484375
3,7,1,135,0.505208
3,7,1,138,0.520833
3,7,1,141,0.526042
3,7,1,144,0.510417
3,7,1,147,0.510417
3,7,1,150,0.520833
3,7,1,153,0.526042
3,7,1,156,0.510417
3,7,1,159,0.515625
3,7,1,162,0.541667
3,7,1,165,0.546875
3,7,1,168,0.546875
3,7,1,171,0.546875
3,7,1,174,0.562500
3,7,1,177,0.578125
3,7,1,180,0.578125
3,7,1,183,0.583333
3,7,1,186,0.583333
3,7,1,189,0.583333
3,7,1,192,0.583333
3,7,0,6,0.500000
3,7,0,9,0.500000
3,7,0,12,0.489583
3,7,0,15,0.468750
3,7,0,18,0.463542
3,7,0,21,0.453125
3,7,0,24,0.453125
3,7,0,27,0.453125
3,7,0,30,0.442708
3,7,0,33,0.447917
3,7,0,36,0.453125
3,7,0,39,0.484375
3,7,0,42,0.484375
3,7,0,45,0.500000
