GCI,MNI,NYT,SSP
25,19,12.19,0
25,18.4,12.25,0
25.12,18.7,12.25,0
24.75,19,11.81,0
24.25,18.1,11.69,0
23.75,18.3,10.94,0
23.44,18.3,10.88,0
24.5,18.1,11.12,0
24.5,17.8,11,0
24,17.4,11.19,0
23.81,17.2,11.69,0
23.88,16.8,11.88,0
24.5,17.3,12.06,0
23.62,17.2,11.75,0
23.62,17,11.81,0
23.75,17.3,11.12,0
25.44,18,11.25,0
26.5,17.8,10.75,0
26.25,17.2,11,0
25.62,18.2,11.12,0
26.19,18.5,11.38,0
25.5,19,11,0
25.44,18.8,10.94,0
25.88,19,10.56,0
26.75,19.1,10.81,0
26.5,18.9,10.69,0
26.75,18.8,10.44,0
26.5,18.3,10.31,0
26.31,18.1,10.88,0
26.69,17.9,11.12,0
26.62,18.1,11.44,0
26.56,18.2,11.94,0
26.06,18.4,12,0
26.44,18.1,11.81,0
26.06,18.2,11.44,0
26.62,18.3,11.44,0
26.75,18.3,11.81,0
26.62,18.1,11.94,0
26.31,17.7,11.5,0
26.81,17.8,11.38,0
27.12,18,11.06,0
27.81,18,11.31,0
27.62,17.5,11.75,0
27.12,17.7,11.75,0
27.38,17.2,11.56,0
27.5,17.6,12,0
26.62,17.5,12.31,0
27.38,18,12.75,0
27.25,18,12.75,0
26.88,18.2,12.75,0
27,18,12.69,0
27,17.5,12.69,0
27,17.1,12.5,0
27,16.4,12.94,0
27.69,15.9,13.88,0
27.19,15.8,13.31,0
26.81,16,13.75,0
27.25,16,14.31,0
27.62,16.1,15,0
27.25,16.4,14.88,0
27.19,17.2,13.88,0
27.62,17.8,14.81,0
27.94,18.2,14.94,0
30.62,18.4,14.75,0
30.56,18,14.81,0
32.19,17.7,14.75,0
31.25,17.6,15.12,0
30.12,17.6,14.5,0
30.19,18,14.62,0
30.31,18.2,14,0
30.12,18.1,14.56,0
30.56,18.4,14.19,0
31.75,19,14.38,0
31.62,18.4,14.25,0
33.44,18.9,13.69,0
33.75,19.3,14.12,0
34,20,13.88,0
34.31,19.7,14.06,0
32.81,19.8,14.25,0
34.75,19.2,14.94,0
34.5,19.4,14.88,0
33.88,18.8,14.44,0
33.19,19.3,15.56,0
33,19.4,15.81,0
34.5,19.9,16.56,0
34.19,20.4,16.25,0
33.19,20.4,16.19,0
34,20.3,16.69,0
33.88,21.4,16.5,0
34.5,21.8,16.5,0
35.62,21.9,16.56,0
35.81,20.7,16.25,0
34.69,19.9,15.5,0
34.44,20.5,15.81,0
34.94,21.5,15.81,0
34.19,22.3,15.25,0
33.12,21.9,15.12,0
32.25,22.1,14.69,0
33.12,21.8,14.69,0
34.06,22.4,14.88,0
34.5,22.2,15.44,0
34.44,21.5,16,0
33.75,22.6,15.81,0
33.19,22.4,15.62,0
33.94,22.9,15.94,0
34.25,22.6,16,0
34.94,22.4,16.5,0
35.62,22.6,17.44,0
34.88,22.8,17.25,0
37,24,17.56,0
36.88,24.7,17.75,0
37.44,25,17.94,0
38.62,24.1,18.38,0
39.06,25.9,18.56,4
38.5,28,18.81,3.93
38.62,27,19.31,4.04
37.38,26.5,18.75,4
35.75,26,18.19,4
37.5,25.62,18.94,3.97
37.44,25.25,19,4.04
35.81,24.75,18.81,3.96
36.69,24.62,18.94,4.06
37.94,24.75,20.25,4.14
37.81,24.5,19.19,4.13
38.38,24.88,19.5,4.14
40.5,24.88,20.94,4.19
41.44,23.88,21.62,4.23
40.25,23.88,22,4.17
40.44,24.5,22.19,4.1
40.75,25.25,22.38,4.07
43.25,24.38,23.88,4.06
44.31,26,22.75,3.93
42.31,25.62,21.88,3.83
40.5,25.62,21.12,3.9
42.5,28.75,20.38,4.48
42,27.88,21,4.27
43.88,28.5,22,4.45
45.25,29,22,4.39
45.88,28.38,22.91,4.42
46.62,29.38,23.34,4.43
46.31,33.38,23.03,4.37
47.19,34.38,23.84,4.49
47.88,34.06,24.69,4.52
48.44,33.31,24.94,4.53
49.38,33.62,24.75,4.81
52.97,33,26.34,5.05
51.41,31.31,26.62,4.97
52.06,30.06,25.94,4.71
50.84,30.62,25.12,4.7
49,31.88,24.94,4.69
48.94,33.38,23.75,4.5
49.47,34,23.69,4.35
49,34.44,23.91,4.53
49.56,34.25,24.28,4.53
49.03,34,24.75,4.58
51.56,33.75,25.62,4.68
51.88,33.06,26.59,4.81
54.16,33.81,26.44,5.11
55.25,32.56,26.84,4.95
55.38,27.94,27.25,4.81
54.75,28.12,27.53,4.85
