GCI,MNI,NYT,SSP
20.65,4.04,13.92,7.25
17.67,4.58,13.21,7.14
17.79,4.34,12.99,7.27
18.5,4.2,14.25,7.23
16.32,3.4,13.49,7.01
18.01,2.22,14.5,7.37
17,2.92,14.35,7.45
14.98,1.85,13.05,6.85
12.76,1.65,12.63,4.91
11.04,1.82,13.08,5.02
9.13,1.85,9.51,4.34
11.64,2.35,9.89,4.6
10.03,1.7,8.68,3.6
7.52,0.75,7.1,3.08
7.29,0.78,6.64,3.03
8.18,1.8,6.97,2.43
9.16,1.17,7.85,2.32
7.27,0.76,7.11,1.68
7.6,0.84,6.66,1.88
7.5,0.66,7.02,1.73
8.9,0.57,7.6,2.1
8,0.5,6.75,1.89
7.02,0.52,5.91,2.01
7.04,0.48,5.6,1.8
4.96,0.52,5.1,1.72
4.57,0.57,4.23,1.71
4.06,0.72,3.71,1.5
3.75,0.69,3.96,1.18
2.37,0.61,4.39,0.93
1.99,0.59,3.86,0.83
2.46,0.54,4.43,1.93
2.36,0.53,4.57,1.61
2.29,0.77,4.56,1.71
2.69,0.58,4.84,1.6
3.49,0.82,5.74,1.92
3.16,1.07,4.94,1.89
3.81,0.84,5.37,2.04
5.35,0.72,6.31,1.81
4.27,0.63,6.39,1.66
4.7,0.68,6.78,1.86
5.04,0.54,6.59,2.32
4.13,0.45,6.32,2.04
4.3,0.42,6.12,2.23
3.85,1.25,5.81,1.95
3.53,2.07,5.14,1.78
3.66,2.08,5.52,2.13
3.18,1.94,4.91,2.09
4.5,2.08,5.46,2.47
5.25,2.05,6.62,2.57
6.26,1.81,7.52,3.7
7.59,2.51,8.1,4.55
8.1,2.41,8.07,6.38
7.98,2.5,8.04,7.15
8.77,2.48,7.95,7.56
7.95,3.36,7.14,6.77
8.36,3.6,7.78,7.63
9.81,3.29,8.36,7.97
9.38,2.83,7.78,6.87
11.84,2.99,7.32,6.61
13.6,3.09,8.48,7.65
13,3,8.48,7.78
13.22,2.75,10.74,7.63
9.82,2.61,7.97,6.36
10.52,3.42,8.17,6.79
10.8,3.48,8.95,6.64
10.38,3.5,8.65,6.41
10.32,3.93,8.76,6.29
10.29,5.14,8.72,6.04
13.16,5.02,9.19,6.8
13.98,4.81,10.4,6.6
15.63,5.51,12.16,6.93
